NoOfRegexps, javaMillis, regexMillis, quotient
1, 132, 131, 1.00
101, 130, 120, 1.08
201, 131, 120, 1.09
301, 132, 122, 1.08
401, 129, 122, 1.05
501, 126, 117, 1.07
601, 125, 118, 1.05
701, 130, 118, 1.10
801, 130, 116, 1.12
901, 129, 121, 1.06
1001, 120, 118, 1.01
1101, 123, 118, 1.04
1201, 127, 119, 1.06
1301, 128, 117, 1.09
1401, 126, 122, 1.03
1501, 123, 113, 1.08
1601, 126, 116, 1.08
1701, 128, 114, 1.12
1801, 129, 119, 1.08
1901, 126, 118, 1.06
2001, 122, 116, 1.05
2101, 127, 116, 1.09
2201, 128, 118, 1.08
2301, 138, 123, 1.12
2401, 138, 128, 1.07
2501, 139, 130, 1.06
2601, 129, 127, 1.01
2701, 156, 122, 1.27
2801, 158, 126, 1.25
2901, 135, 125, 1.08
3001, 128, 122, 1.04
3101, 130, 116, 1.12
3201, 144, 123, 1.17
3301, 132, 118, 1.11
3401, 138, 126, 1.09
3501, 133, 118, 1.12
3601, 130, 124, 1.04
3701, 132, 118, 1.11
3801, 130, 116, 1.12
3901, 129, 117, 1.10
4001, 132, 118, 1.11
4101, 130, 126, 1.03
4201, 126, 126, 1.00
4301, 139, 121, 1.14
4401, 132, 119, 1.10
4501, 131, 125, 1.04
4601, 131, 124, 1.05
4701, 136, 123, 1.10
