UnfairJavaRegexpSeconds, RmatchSeconds
1, 0, 0
801, 2, 1
1601, 9, 1
2401, 11, 2
3201, 17, 2
4001, 28, 2
4801, 51, 3
5601, 76, 5
6401, 117, 8
7201, 137, 9
8001, 99, 4
8801, 103, 5
9601, 126, 6
10401, 129, 7
