1, 0, 0
101, 1, 1
201, 1, 1
301, 2, 1
401, 2, 1
501, 3, 1
601, 4, 1
701, 4, 1
801, 5, 0
901, 3, 0
1001, 4, 1
1101, 5, 1
1201, 6, 0
1301, 7, 1
1401, 8, 1
1501, 8, 1
1601, 10, 1
1701, 10, 1
1801, 9, 1
1901, 11, 1
2001, 11, 1
2101, 10, 1
2201, 12, 1
2301, 12, 1
2401, 15, 1
2501, 11, 1
2601, 13, 1
2701, 12, 1
2801, 14, 2
2901, 14, 2
3001, 13, 2
3101, 14, 2
3201, 13, 1
3301, 15, 2
3401, 17, 1
3501, 17, 1
3601, 17, 1
3701, 17, 1
3801, 19, 2
3901, 21, 1
4001, 21, 1
4101, 20, 1
4201, 21, 2
4301, 21, 2
4401, 21, 1
4501, 21, 2
4601, 22, 2
4701, 22, 2
4801, 23, 2
4901, 26, 1
5001, 25, 2
5101, 24, 2
5201, 28, 2
5301, 26, 2
5401, 27, 2
5501, 27, 2
5601, 30, 2
5701, 30, 2
5801, 30, 2
5901, 31, 2
6001, 36, 2
6101, 35, 3
6201, 36, 2
6301, 36, 2
6401, 35, 3
6501, 36, 2
6601, 36, 3
6701, 38, 2
6801, 39, 2
6901, 39, 3
7001, 39, 2
7101, 38, 3
7201, 38, 3
7301, 39, 3
7401, 38, 3
7501, 39, 3
7601, 42, 2
7701, 41, 2
7801, 42, 2
7901, 47, 3
8001, 44, 3
8101, 46, 3
8201, 44, 3
8301, 45, 3
8401, 46, 3
8501, 46, 3
8601, 48, 3
8701, 47, 3
8801, 48, 3
8901, 49, 3
9001, 49, 3
9101, 53, 3
9201, 54, 3
9301, 59, 3
9401, 60, 3
9501, 54, 3
9601, 55, 3
9701, 56, 3
9801, 56, 3
9901, 57, 3
10001, 56, 3
10101, 54, 3
10201, 58, 4
10301, 59, 3
10401, 65, 4
