NoOfRegexps, javaMillis, regexMillis, quotient
1, 128, 122, 1.04
101, 134, 118, 1.13
201, 129, 120, 1.07
301, 120, 118, 1.01
401, 126, 114, 1.10
501, 129, 118, 1.09
601, 131, 120, 1.09
701, 137, 142, .96
801, 141, 130, 1.08
901, 142, 128, 1.10
1001, 135, 127, 1.06
1101, 138, 117, 1.17
1201, 136, 118, 1.15
1301, 138, 122, 1.13
1401, 140, 127, 1.10
1501, 137, 121, 1.13
1601, 133, 122, 1.09
1701, 130, 120, 1.08
1801, 129, 128, 1.00
1901, 132, 123, 1.07
2001, 138, 122, 1.13
2101, 133, 122, 1.09
2201, 148, 123, 1.20
2301, 146, 128, 1.14
2401, 127, 135, .94
2501, 135, 125, 1.08
2601, 132, 124, 1.06
2701, 133, 119, 1.11
2801, 133, 119, 1.11
2901, 133, 120, 1.10
3001, 128, 121, 1.05
3101, 123, 105, 1.17
3201, 126, 115, 1.09
3301, 128, 116, 1.10
3401, 137, 129, 1.06
3501, 130, 121, 1.07
3601, 139, 127, 1.09
3701, 140, 124, 1.12
3801, 123, 116, 1.06
3901, 139, 125, 1.11
4001, 139, 124, 1.12
4101, 137, 120, 1.14
4201, 138, 126, 1.09
4301, 130, 127, 1.02
4401, 133, 119, 1.11
4501, 125, 115, 1.08
4601, 130, 118, 1.10
4701, 133, 118, 1.12
4801, 139, 120, 1.15
4901, 140, 130, 1.07
5001, 135, 125, 1.08
5101, 140, 122, 1.14
5201, 139, 129, 1.07
5301, 141, 119, 1.18
5401, 136, 125, 1.08
5501, 130, 115, 1.13
5601, 140, 123, 1.13
5701, 128, 124, 1.03
5801, 136, 124, 1.09
5901, 132, 114, 1.15
6001, 135, 117, 1.15
6101, 140, 123, 1.13
6201, 135, 123, 1.09
6301, 135, 124, 1.08
6401, 141, 123, 1.14
6501, 139, 125, 1.11
6601, 138, 127, 1.08
6701, 142, 128, 1.10
6801, 136, 129, 1.05
6901, 135, 124, 1.08
7001, 134, 117, 1.14
7101, 141, 127, 1.11
7201, 139, 119, 1.16
7301, 138, 128, 1.07
7401, 132, 129, 1.02
7501, 122, 120, 1.01
7601, 125, 120, 1.04
7701, 138, 125, 1.10
7801, 139, 119, 1.16
7901, 131, 120, 1.09
8001, 132, 121, 1.09
8101, 129, 121, 1.06
8201, 137, 123, 1.11
8301, 137, 119, 1.15
8401, 138, 125, 1.10
8501, 139, 124, 1.12
8601, 137, 128, 1.07
8701, 133, 119, 1.11
8801, 128, 122, 1.04
8901, 123, 112, 1.09
9001, 129, 119, 1.08
9101, 131, 120, 1.09
9201, 131, 118, 1.11
9301, 127, 119, 1.06
9401, 129, 116, 1.11
9501, 125, 118, 1.05
9601, 131, 118, 1.11
9701, 129, 123, 1.04
9801, 133, 120, 1.10
9901, 131, 122, 1.07
10001, 130, 123, 1.05
10101, 123, 118, 1.04
10201, 127, 119, 1.06
10301, 132, 117, 1.12
10401, 136, 117, 1.16
