UnfairJavaRegexpSeconds, RmatchSeconds
1, 0, 0
801, 2, 1
1601, 7, 0
2401, 7, 1
3201, 11, 1
4001, 16, 1
4801, 18, 2
5601, 24, 2
6401, 28, 2
7201, 32, 2
8001, 37, 2
8801, 1947, 3
9601, 50, 2
10401, 53, 2
