NoOfRegexps, javaMillis, regexMillis, quotient
1, 161, 170, .94
101, 157, 136, 1.15
201, 158, 135, 1.17
301, 159, 134, 1.18
401, 159, 133, 1.19
501, 157, 135, 1.16
601, 157, 135, 1.16
701, 154, 134, 1.14
801, 159, 133, 1.19
901, 155, 134, 1.15
1001, 156, 133, 1.17
1101, 160, 134, 1.19
1201, 155, 134, 1.15
1301, 156, 133, 1.17
1401, 156, 133, 1.17
1501, 155, 132, 1.17
1601, 156, 133, 1.17
1701, 158, 132, 1.19
1801, 157, 133, 1.18
1901, 157, 132, 1.18
2001, 157, 132, 1.18
2101, 155, 133, 1.16
2201, 157, 137, 1.14
2301, 158, 133, 1.18
2401, 159, 134, 1.18
2501, 157, 133, 1.18
2601, 154, 134, 1.14
2701, 152, 134, 1.13
2801, 150, 128, 1.17
2901, 150, 126, 1.19
3001, 151, 130, 1.16
3101, 150, 127, 1.18
3201, 149, 127, 1.17
3301, 150, 128, 1.17
3401, 149, 127, 1.17
3501, 155, 136, 1.13
3601, 150, 148, 1.01
3701, 150, 144, 1.04
3801, 150, 132, 1.13
3901, 148, 129, 1.14
4001, 150, 127, 1.18
4101, 152, 128, 1.18
4201, 152, 127, 1.19
4301, 151, 127, 1.18
4401, 153, 139, 1.10
4501, 150, 130, 1.15
4601, 150, 127, 1.18
4701, 151, 129, 1.17
4801, 167, 140, 1.19
4901, 148, 129, 1.14
5001, 151, 129, 1.17
5101, 150, 132, 1.13
5201, 148, 129, 1.14
5301, 150, 128, 1.17
5401, 152, 130, 1.16
5501, 148, 129, 1.14
5601, 150, 129, 1.16
5701, 143, 136, 1.05
5801, 145, 128, 1.13
5901, 145, 122, 1.18
6001, 144, 123, 1.17
6101, 145, 125, 1.16
6201, 147, 122, 1.20
6301, 155, 122, 1.27
6401, 144, 126, 1.14
6501, 149, 123, 1.21
6601, 147, 124, 1.18
6701, 148, 126, 1.17
6801, 150, 125, 1.20
6901, 146, 128, 1.14
7001, 150, 123, 1.21
7101, 149, 124, 1.20
7201, 143, 123, 1.16
7301, 144, 126, 1.14
7401, 148, 125, 1.18
7501, 143, 124, 1.15
7601, 143, 126, 1.13
7701, 146, 123, 1.18
7801, 143, 135, 1.05
7901, 145, 124, 1.16
8001, 146, 124, 1.17
8101, 145, 123, 1.17
8201, 145, 122, 1.18
8301, 146, 124, 1.17
8401, 146, 126, 1.15
8501, 144, 126, 1.14
8601, 150, 126, 1.19
8701, 145, 127, 1.14
8801, 144, 125, 1.15
8901, 145, 127, 1.14
9001, 144, 126, 1.14
9101, 144, 124, 1.16
9201, 146, 127, 1.14
9301, 147, 126, 1.16
9401, 145, 125, 1.16
9501, 147, 123, 1.19
9601, 153, 123, 1.24
9701, 146, 123, 1.18
9801, 145, 121, 1.19
9901, 146, 141, 1.03
10001, 146, 124, 1.17
10101, 149, 125, 1.19
10201, 148, 123, 1.20
10301, 143, 124, 1.15
10401, 146, 124, 1.17
