timestamp,testSeriesId,metadata,matcherTypeName1,usedMemoryInMb1,durationInMillis1,matcherTypeName2,usedMemoryInMb2,durationInMillis2,noOfMatches,noOfMismatches,noOfRegexps,corpusLength,2to1Ratio
1685286956730,6132cb4d-b1c2-43f8-897f-fdc44259f177,u/la3lma/refactoring-a-la-chatgpt2,rmatch,541,143043,java,533,6916,1144409,8,19566,1154369,20.682909
1685287120312,f4db3eca-ad44-4399-bf3e-7930a9475a04,u/la3lma/refactoring-a-la-chatgpt2,rmatch,2361,127464,java,531,10158,1144409,8,19566,1154369,12.54814
1685287376058,b01691be-a70d-471e-9413-d7304d49144f,u/la3lma/refactoring-a-la-chatgpt2,rmatch,1326,137804,java,534,8643,1144409,8,19566,1154369,15.944001
1685294890722,9944A73D-6097-402F-BF49-9105CBF968A8,u/la3lma/refactoring-a-la-chatgpt2,rmatch,155,1645,java,20,73,23,0,9,1154369,22.534246
1685294892766,9944A73D-6097-402F-BF49-9105CBF968A8,u/la3lma/refactoring-a-la-chatgpt2,rmatch,325,1500,java,20,73,23,0,9,1154369,20.547945
1685294894903,9944A73D-6097-402F-BF49-9105CBF968A8,u/la3lma/refactoring-a-la-chatgpt2,rmatch,125,1522,java,20,94,23,0,9,1154369,16.19149
1685294914249,509618D3-F94B-408F-AC94-CC26EA98DE4C,u/la3lma/refactoring-a-la-chatgpt2,rmatch,317,2177,java,23,91,6467,0,99,1154369,23.923077
1685294916909,509618D3-F94B-408F-AC94-CC26EA98DE4C,u/la3lma/refactoring-a-la-chatgpt2,rmatch,195,1946,java,23,133,6467,0,99,1154369,14.631579
1685294920448,509618D3-F94B-408F-AC94-CC26EA98DE4C,u/la3lma/refactoring-a-la-chatgpt2,rmatch,395,2677,java,23,163,6467,0,99,1154369,16.423313
1685294953205,8134D22C-6402-4AAC-A082-199CA4BCF01E,u/la3lma/refactoring-a-la-chatgpt2,rmatch,892,6847,java,51,658,96068,0,999,1154369,10.405775
1685294963524,8134D22C-6402-4AAC-A082-199CA4BCF01E,u/la3lma/refactoring-a-la-chatgpt2,rmatch,1111,8338,java,51,836,96068,0,999,1154369,9.973684
1685294977458,8134D22C-6402-4AAC-A082-199CA4BCF01E,u/la3lma/refactoring-a-la-chatgpt2,rmatch,489,11370,java,51,1188,96068,0,999,1154369,9.570707
1685295100391,6DE05017-510E-496A-BE45-2778F03E0D4F,u/la3lma/refactoring-a-la-chatgpt2,rmatch,357,87777,java,285,10472,576005,0,9999,1154369,8.382067
1685295204084,6DE05017-510E-496A-BE45-2778F03E0D4F,u/la3lma/refactoring-a-la-chatgpt2,rmatch,1379,91516,java,285,8573,576005,0,9999,1154369,10.67491
1685300128023,A9B69B90-AAB2-4AD3-A421-5E232DF8C8BD,u/la3lma/refactoring-a-la-chatgpt2,rmatch,2077,177211,java,538,10009,1144409,8,19566,1154369,17.705166
1685300334806,A9B69B90-AAB2-4AD3-A421-5E232DF8C8BD,u/la3lma/refactoring-a-la-chatgpt2,rmatch,1651,179213,java,536,21266,1144409,8,19566,1154369,8.427208
1685300544939,A9B69B90-AAB2-4AD3-A421-5E232DF8C8BD,u/la3lma/refactoring-a-la-chatgpt2,rmatch,1348,193100,java,533,11468,1144409,8,19566,1154369,16.838158
1685300744994,A9B69B90-AAB2-4AD3-A421-5E232DF8C8BD,u/la3lma/refactoring-a-la-chatgpt2,rmatch,1011,180571,java,538,15087,1144409,8,19566,1154369,11.968649
1685300959367,A9B69B90-AAB2-4AD3-A421-5E232DF8C8BD,u/la3lma/refactoring-a-la-chatgpt2,rmatch,1982,189003,java,534,19699,1144409,8,19566,1154369,9.594548
1685301211425,A9B69B90-AAB2-4AD3-A421-5E232DF8C8BD,u/la3lma/refactoring-a-la-chatgpt2,rmatch,1318,226606,java,533,19769,1144409,8,19566,1154369,11.462694
1685301461093,A9B69B90-AAB2-4AD3-A421-5E232DF8C8BD,u/la3lma/refactoring-a-la-chatgpt2,rmatch,753,229868,java,536,15268,1144409,8,19566,1154369,15.055541
1685301742719,A9B69B90-AAB2-4AD3-A421-5E232DF8C8BD,u/la3lma/refactoring-a-la-chatgpt2,rmatch,2390,265588,java,535,12459,1144409,8,19566,1154369,21.31696
1685301911122,A9B69B90-AAB2-4AD3-A421-5E232DF8C8BD,u/la3lma/refactoring-a-la-chatgpt2,rmatch,1182,153662,java,535,11638,1144409,8,19566,1154369,13.203471
1685302059498,A9B69B90-AAB2-4AD3-A421-5E232DF8C8BD,u/la3lma/refactoring-a-la-chatgpt2,rmatch,2119,134888,java,534,10583,1144409,8,19566,1154369,12.745725
1685374976474,8383FDD9-A509-4046-8F04-FD430BB07BA8,master,rmatch,1287,69792,java,534,6147,1144409,8,19566,1154369,11.353831
1685375132662,8383FDD9-A509-4046-8F04-FD430BB07BA8,master,rmatch,1257,142563,java,533,10604,1144409,8,19566,1154369,13.444266
1685375282942,8383FDD9-A509-4046-8F04-FD430BB07BA8,master,rmatch,578,133721,java,536,12781,1144409,8,19566,1154369,10.462483
1685375440986,8383FDD9-A509-4046-8F04-FD430BB07BA8,master,rmatch,799,142036,java,532,11519,1144409,8,19566,1154369,12.330585
1685375608983,8383FDD9-A509-4046-8F04-FD430BB07BA8,master,rmatch,2061,154237,java,536,10550,1144409,8,19566,1154369,14.619621
1685375781964,8383FDD9-A509-4046-8F04-FD430BB07BA8,master,rmatch,964,158832,java,536,10784,1144409,8,19566,1154369,14.728487
1685375941270,8383FDD9-A509-4046-8F04-FD430BB07BA8,master,rmatch,747,142848,java,534,12666,1144409,8,19566,1154369,11.278068
1685376110891,8383FDD9-A509-4046-8F04-FD430BB07BA8,master,rmatch,679,155193,java,535,10844,1144409,8,19566,1154369,14.311417
1685376274062,8383FDD9-A509-4046-8F04-FD430BB07BA8,master,rmatch,1811,147868,java,535,11995,1144409,8,19566,1154369,12.32747
1685376460471,8383FDD9-A509-4046-8F04-FD430BB07BA8,master,rmatch,2578,164391,java,536,17757,1144409,8,19566,1154369,9.257813
1685380210149,28CC3751-BA44-4B0D-BA81-27F159A3079C,u/la3lma/optimize-using-chatgtp,rmatch,2218,102796,java,536,63137,1144409,8,19566,1154369,1.628142
1685380365200,28CC3751-BA44-4B0D-BA81-27F159A3079C,u/la3lma/optimize-using-chatgtp,rmatch,636,139477,java,531,12058,1144409,8,19566,1154369,11.567175
1685380547947,28CC3751-BA44-4B0D-BA81-27F159A3079C,u/la3lma/optimize-using-chatgtp,rmatch,1309,166754,java,536,12034,1144409,8,19566,1154369,13.856905
1685380725704,28CC3751-BA44-4B0D-BA81-27F159A3079C,u/la3lma/optimize-using-chatgtp,rmatch,1545,160846,java,534,12930,1144409,8,19566,1154369,12.439753
1685380950155,28CC3751-BA44-4B0D-BA81-27F159A3079C,u/la3lma/optimize-using-chatgtp,rmatch,1951,209465,java,534,11477,1144409,8,19566,1154369,18.250849
1685381111193,28CC3751-BA44-4B0D-BA81-27F159A3079C,u/la3lma/optimize-using-chatgtp,rmatch,1932,146562,java,537,11434,1144409,8,19566,1154369,12.818087
1685381257742,28CC3751-BA44-4B0D-BA81-27F159A3079C,u/la3lma/optimize-using-chatgtp,rmatch,2635,132980,java,535,10651,1144409,8,19566,1154369,12.485212
1685381395764,28CC3751-BA44-4B0D-BA81-27F159A3079C,u/la3lma/optimize-using-chatgtp,rmatch,670,125898,java,534,9492,1144409,8,19566,1154369,13.263591
1685381559675,28CC3751-BA44-4B0D-BA81-27F159A3079C,u/la3lma/optimize-using-chatgtp,rmatch,2013,143168,java,533,16105,1144409,8,19566,1154369,8.889662
1685381719123,28CC3751-BA44-4B0D-BA81-27F159A3079C,u/la3lma/optimize-using-chatgtp,rmatch,1218,145394,java,533,10234,1144409,8,19566,1154369,14.206957
