secondsSinceEpoch, millisDuration, memoryInMb
1507229518, 1176, 321
1507229785, 817, 376
1507229822, 686, 392
1507230737, 828, 489
1507231043, 877, 320
1507231307, 733, 369
1507231972, 986, 363
1507236752, 698, 369
1507239710, 1620, 490
1507239721, 1671, 383
1507239741, 1349, 493
1507239749, 1123, 186
1507239783, 1380, 595
1507239913, 1117, 484
1507239929, 1023, 31
1507239990, 952, 1149
1507244733, 1142, 361
1683217726, 1181, 55
1683217741, 754, 316
1683217758, 2162, 27
1683217775, 858, 465
1683217815, 1482, 413
1683219609, 800, 330
1683221218, 557, 22
1683222143, 633, 109
1683222341, 859, 198
1683222437, 970, 86
1683224712, 744, 202
1683225094, 1033, 176
1683225112, 1202, 310
1683225663, 801, 128
1683226050, 950, 355
1683228547, 1258, 130
1683228662, 374, 422
1683228689, 556, 70
1683282939, 924, 155
1683283042, 1450, 288
1683283389, 1206, 19
1683283564, 1763, 88
1683284167, 1002, 167
1683284187, 1116, 259
1683284308, 814, 150
1683311607, 909, 303
1683311651, 2008, 128
1683407135, 654, 285
1683407791, 933, 229
1683407919, 962, 201
1683408066, 730, 49
1683460484, 1376, 457
1683460732, 1123, 277
1683461074, 1249, 353
1683465198, 722, 242
1683465317, 642, 150
1683465548, 513, 282
1683466041, 490, 474
1683466483, 1395, 24
1683467012, 646, 274
1683467096, 593, 290
1683467163, 587, 274
1683467465, 678, 156
1683467631, 626, 386
1683467727, 628, 157
1683467831, 540, 126
1683468588, 509, 102
1683486153, 844, 169
1683486386, 778, 173
1683486423, 703, 97
1683486582, 1025, 197
1683487099, 447, 349
1683487146, 471, 89
1683487364, 731, 173
1683487939, 1110, 197
1683488418, 337, 28
1683488659, 505, 257
1683488727, 496, 288
1683490424, 448, 145
1683541320, 1849, 203
1683541356, 1274, 171
1683541418, 721, 233
1683541448, 683, 148
1683541476, 804, 277
1683541539, 547, 369
1683542239, 836, 264
1683546227, 1218, 318
1683546250, 1020, 404
1683546349, 1059, 245
1683546377, 907, 402
1683546962, 669, 429
1683568964, 389, 114
1683628193, 1063, 293
1683628219, 1096, 214
1683887918, 650, 393
1683973403, 848, 106
1683974259, 961, 21
1684687916, 1236, 129
1684688114, 2389, 189
1684688178, 1339, 105
1684688724, 2217, 189
1684702404, 336, 86
1685291131, 681, 74
1685291491, 373, 53
1685292232, 549, 326
1685293486, 677, 202
1685294827, 562, 121
1685394674, 4581, 102
1685394784, 1464, 245
1685394807, 1185, 229
1685394847, 1479, 322
1688292572, 2189, 189
1688379114, 369, 65
1688379829, 393, 194
1688380078, 361, 26
1688383942, 461, 270
1688384375, 448, 106
1688387064, 385, 69
1688387538, 363, 109
1688413254, 463, 265
1688413877, 451, 260
1688415516, 370, 413
1688552501, 501, 366
1688813620, 1365, 266
1688814686, 471, 310
